filename,title,authors,journal_year,species_covered,has_extractable_geometry,is_duplicate_of_existing
2004_3_IJQC_Polynitrogen Clusters Containing Five-Membered Rings.pdf,Polynitrogen Clusters Containing Five-Membered Rings,"Cheng L.P., Li S., Li Q.S.","Int. J. Quantum Chem. 2004 (recv. 2002, DOI 10.1002/qua.10813)","N15 (new isomers, ab initio MP2/DFT 6-31G*); compares to lit. N8,N10-N14",YES,NO
azidopentazole.pdf,"First-principles DFT study of the structural, electronic and vibrational properties of azidopentazole","Kortus J., Pederson M.R., Richardson S.L.",Chem. Phys. Lett. 340 (2001) 565-570,"N8 (azidopentazole, Cs) + IR/Raman frequencies",YES,NO
ci050097e.pdf,Stability and Properties of Polyhelicenes and Annelated Fused-Ring Carbon Helices: Models Toward Helical Graphites,"Wang L., Warburton P.L., Szekeres Z., Surjan P., Mezey P.G.","J. Chem. Inf. Model. 2005, 45, 850","N/A - carbon helicenes, not polynitrogen",NO,NO
ci0601113.pdf,Stability and Electronic Properties of Nitrogen Nanoneedles and Nanotubes,"Wang J.L., Lushington G.H., Mezey P.G.","J. Chem. Inf. Model. 2006, 46, 1965","Extended (N2m)n nanotube/nanoneedle structures, m=2-6 (periodic-like, not simple isolated cluster)",UNCLEAR,NO
cr990321x.pdf,Aromaticity of Phosphorus Heterocycles,Nyulaszi L.,"Chem. Rev. 2001, 101, 1229","N/A - phosphorus heterocycles, not nitrogen",NO,NO
cr990337n.pdf,Metallabenzenes,Bleeke J.R.,"Chem. Rev. 2001, 101, 1205","N/A - organometallic benzene analogs, not nitrogen",NO,NO
ct050067i.pdf,Stabilization of Cylindrical N12 and N18 by Phosphorus Substitution,Strout D.L.,"J. Chem. Theory Comput. 2005, 1, 561","N12, N18 cylindrical cages (mainly as precursors to P-substituted N6P6/N12P6 analogs)",UNCLEAR,NO
hydrazine.pdf,"Predicted Structures and Spectroscopic Characteristics of Hydrazine, Lithium-substituted Hydrazine and Their Higher Derivatives","Bartlett R.J., Tobita M.","QTP Univ. Florida internal report (AFOSR-DARPA), undated","N/A for pure-N pool - N2H4 and Li-substituted derivatives (contain H, Li)",NO,NO
ic020358r.pdf,DFT Investigation of the Tri(amino)amine N(NH2)3(2+) and the Tri(azido)amine N(N3)3(2+) Dications and Related Mixed Amino(azido)ammonium Ions,"Rasul G., Prakash G.K.S., Olah G.A.","Inorg. Chem. 2002, 41, 5589",N/A for pure-N pool - all species contain H (amino groups),NO,NO
ja002253y.pdf,N6(2+) and N4(2+) Dications and Their N12 and N10 Azido Derivatives: DFT/GIAO-MP2 Theoretical Studies,"Olah G.A., Prakash G.K.S., Rasul G.","J. Am. Chem. Soc. 2001, 123, 3308","N4(2+), N6(2+) dications (charge +2, outside neutral/+1/-1 scope); N10, N12 azido-derivative adducts (pure N, neutral)",YES,NO
ja0509735.pdf,"Synthesis, Characterization, and Energetic Properties of Diazido Heteroaromatic High-Nitrogen C-N Compound","Huynh M.H.V., Hiskey M.A., Chavez D.E., Naud D.L., Gilardi R.D.",J. Am. Chem. Soc. 2005 (published web 2005-08-20),N/A for pure-N pool - DiAT is a C-N heteroaromatic compound (contains C),NO,NO
ja7345.pdf,"[Misfiled/unrelated] Supplemental Table 7: Calculated Geometric Parameters of (ethylene)Cr(CO)5 and (1,3-butadiene)Cr(CO)4",(unidentified - JACS 1996 vol.118 p.7345 supplement),"J. Am. Chem. Soc. 1996, 118, p.7345 (supplement)","N/A - organometallic Cr carbonyl complexes, completely unrelated to polynitrogen; scanned, no OCR text",NO,NO
jp011925j.pdf,Ab Initio Calculations on the (1)2Delta Excited State and Low-Lying Quartet States of Ga.N2: Simulation of Its LIF Spectrum,"Lee E.P.F., Dyke J.M., Mok D.K.W., Claridge R.P., Chau F.T.",J. Phys. Chem. A 2001,N/A for pure-N pool - Ga.N2 complex (contains Ga),NO,NO
jp012889r.pdf,Do Nitrogen-Containing Oxocarbons Exist? Predictions of Their Stability and Aromaticity,"Morao I., Vincent M.A., Hillier I.H.",J. Phys. Chem. A 2001,"N/A for pure-N pool - CnOn(2-) oxocarbons with N-substitution (contain C, O)",NO,NO
jp0141833.pdf,Theoretical Prediction on the Synthesis Reaction Pathway of N6 (C2h),"Wang L.J., Warburton P., Mezey P.G.","J. Phys. Chem. A 2002, 106, 2748","N6 (C2h) product structure; reactants/TS contain H,F (excluded)",YES,NO
jp0208182.pdf,Dissociation Barriers for Odd-Numbered Acyclic Nitrogen Molecules N9 and N11,"Thompson M.D., Bledson T.M., Strout D.L.",J. Phys. Chem. A 2002,"N9, N11 (acyclic) + dissociation TS",YES,NO
jp022074y.pdf,Stable Structures of Nitrogen-Rich Sulfides: S(N3)m (m=1-4),"Wang L.J., Zgierski M.Z., Mezey P.G.","J. Phys. Chem. A 2003, 107, 2080",N/A for pure-N pool - contains sulfur,NO,NO
jp0378889.pdf,"Isomer Stability of N24, N30, and N36 Cages: Cylindrical versus Spherical Structure",Strout D.L.,"J. Phys. Chem. A 2004, 108, 2555","N24, N30, N36 (multiple cage isomers, all pure N)",YES,NO
jp0404495.pdf,A Theoretical Study of Nitrogen-Rich Phosphorus Nitrides P(Nn)m,"Wang L., Warburton P.L., Mezey P.G.","J. Phys. Chem. A 2005, 109, 1125",N/A for pure-N pool - all main species contain P; discusses N3/N4 units as ligands only,NO,NO
jp044970a.pdf,Predicted High-Energy Molecules: Helical All-Nitrogen and Helical Nitrogen-Rich Ring Clusters,"Wang L., Mezey P.G.","J. Phys. Chem. A 2005, 109, 3241","N26, N46 (helical all-N clusters, pure N); N26H16 excluded (contains H)",YES,NO
N_nanotubes_06.pdf,"Theoretical Study on ""Multilayer"" Nitrogen Cages","Zhou H., Wong N.B., Zhou G., Tian A.","J. Phys. Chem. A 2006, 110, 3845","22 N2n cage isomers: N6,N8,N10,N12(x2),N16,N18,N20,N24(x3),N30(x2),N32,N36,N40,N42,N48(x2),N54,N56,N60 - point groups given for each",YES,NO
N_solid_06.pdf,Systematic Method to New Phases of Polymeric Nitrogen under High Pressure,"Zahariev F., Dudiy S.V., Hooper J., Zhang F., Woo T.K.","Phys. Rev. Lett. 97, 155503 (2006)","Periodic solid-state polymeric N phases (single-bonded), not isolated clusters",NO,NO
N10_acyc.pdf,Acyclic N10 Fails as a High Energy Density Material,Strout D.L.,"J. Phys. Chem. A 2002, 106, 816",N10 (acyclic) + dissociation barrier to N8+N2,YES,NO
N10_marek_03.pdf,Stability and the structures of Nitrogen clusters N10,"Wang L.J., Mezey P.G., Zgierski M.Z.",Chem. Phys. Lett. 391 (2004) 338,N10 (eleven distinct minima optimized B3LYP/MP2 6-31G),YES,NO
N10-N60.pdf,Toward new energy-rich molecular systems: from N10 to N60,Manaa M.R.,Chem. Phys. Lett. 331 (2000) 262,"N10 (bicyclic), N60 (fullerene analog)",YES,NO
N10.pdf,On the Stability of N5+N5-,"Fau S., Wilson K.J., Bartlett R.J.","J. Phys. Chem. A 2002, 106, 4639","N5+, N5- (ion pair; also quasi-periodic (N5+N5-)2)",YES,NO
N11.pdf,Structures and stability of N11 cluster,"Li Q.S., Liu Y.D.",Chem. Phys. Lett. (2002),"N11 (8 isomers, low spin)",YES,NO
N12-N8.pdf,The interconversion of N12 to N8 and two equivalents of N2,"Klapotke T.M., Harcourt R.D.",J. Mol. Struct. (Theochem) 541 (2001) 237,"N12 (diazobispentazole, C2h), N10 (pentaazopentazole, C1), N8 (azidopentazole, Cs) + 2 TS",YES,NO
N18.pdf,N18: a computational investigation,"Gu J.D., Chen K.X., Jiang H.L., Chen J.Z., Ji R.Y., Ren Y., Tian A.M.",J. Mol. Struct. (Theochem) 428 (1998) 183,"N18 (cage-like, C2v)",YES,NO
N2_polymeric_LDA.pdf,New structures of dense nitrogen: Pathways to the polymeric phase,"Caracas R., Hemley R.J.",Chem. Phys. Lett. 442 (2007) 65,"Periodic high-pressure solid N phases (Immm), not isolated clusters",NO,NO
N2-polym.pdf,Polymeric Nitrogen,"Mailhiot C., Yang L.H., McMahan A.K., Barbee T.W. III","LLNL preprint UCRL-JC-110049 Rev.2, July 1993 (AIRAPT/APS Conf.)","Periodic solid-state polymeric N phases, not isolated clusters; scanned, no OCR text",NO,NO
N20_05.pdf,Why Isn't the N20 Dodecahedron Ideal for Three-Coordinate Nitrogen?,Strout D.L.,"J. Phys. Chem. A 2005, 109, 1478",N20 (dodecahedron + other isomers),YES,NO
N20.pdf,A quantum chemical study of three isomers of N20,"Ha T.K., Suleimenov O., Nguyen M.T.",Chem. Phys. Lett. 315 (1999) 327,"N20: fullerene cage (Ih), bowl (C5v), ring (D5) - 3 isomers",YES,NO
N3.pdf,"Possible Intermediate Formation of Cyclic Nitrous Oxide, N2O: Reaction of Oxygen Difluoride, OF2, with Cesium Azide, CsN3","Crawford M.J., Klapotke T.M.","Inorg. Chem. 1999, 38, 3006","N/A for pure-N3 cluster pool - about N2O/OF2/CsN3 reaction mechanism (contains O, F, Cs); N3 only as reaction fragment/mechanism discussion",NO,NO
N3+.pdf,"Photodissociation, charge and atom transfer processes in electronically excited states of N3+","Bennett F.R., Maier J.P., Chambaud G., Rosmus P.",Chemical Physics 209 (1996) 275,"N3+ (ground + excited singlet/triplet states, centrosymmetric structures); scanned, text read via image",YES,NO
N4-6-8.pdf,"Strain Energies in Homoatomic Nitrogen Clusters N4, N6, and N8","Gimarc B.M., Zhao M.","Inorg. Chem. 1996, 35, 3289","N4, N6, N8 (multiple hypothetical structural forms via homodesmotic reactions)",YES,NO
N4-C2O2-28.pdf,"The 28-Electron Tetraatomic Molecules: N4, CN2O, BFN2, C2O2, B2F2, CBFO, C2FN, and BNO2","Korkin A.A., Balkova A., Bartlett R.J., Boyd R.J., Schleyer P.v.R.","J. Phys. Chem. 1996, 100, 5702","N4 only is pure-N (tetraazatetrahedrane, tetraazacyclobutadiene, new triplet open-chain isomer); other 7 species in title contain C/B/F/O",YES,NO
N4-N8.pdf,Protonated High Energy Density Materials: N4 Tetrahedron and N8 Octahedron,"Leininger M.L., Van Huis T.J., Schaefer H.F. III","J. Phys. Chem. A 1997, 101, 4460","N4 (Td), N8 (Oh) pure-N forms; protonated N4H+/N8H+ forms excluded (contain H)",YES,NO
N4.pdf,Structures and properties of nitrogen derivatives of tetrahedrane,Jursic B.S.,J. Mol. Struct. (Theochem) 536 (2001) 143,"Mixed C(4-2n)NnH(4-2n) tetrahedrane derivatives (n=0,2,4); pure N4 only at the n=4 endpoint",UNCLEAR,NO
N4+.pdf,Potential Energy Function and Vibrational States of the Electronic Ground State of N4+,"Leonard C., Rosmus P., Carter S., Handy N.C.","J. Phys. Chem. A 1999, 103, 1846",N4+ (ground state PES + vibrational states),YES,NO
N4b.pdf,Theoretical Study of the Triplet N4 Potential Energy Surface,"Bittererova M., Brinck T.","J. Phys. Chem. A 2000, 104, 11999","N4 triplet: D2d minimum, Cs, open-chain C2h isomers + barrier to Td singlet",YES,NO
N4c.pdf,Thermochemistry of Tetrazete and Tetraazatetrahedrane: A High-Level Computational Study,"Glukhovtsev M.N., Laiter S.","J. Phys. Chem. 1996, 100, 1569","N4: tetrazete, tetraazatetrahedrane, open-chain Cs triplet",YES,NO
N4d.pdf,Towards the synthesis of the high energy density material TdN4: excited electronic states,"Lee T.J., Dateo C.E.",Chem. Phys. Lett. 345 (2001) 295,"N4 (Td) excited electronic states - vertical excitation energies only, likely reuses known Td ground-state geometry rather than reporting a new one",UNCLEAR,NO
