id,source_file,formula,charge,mult,point_group,method,geometry_type,build_used,build_confidence,e_xtb_hartree,e_xtb_eV_per_atom,freq_converged,is_true_minimum,hops_needed,is_duplicate_of_existing,is_duplicate_within_new_batch,final_status
N3+_Dinfh_linear_groundstate,N3+.json,N3,1,3,"Dinfh (linear, centrosymmetric)","MRCI/[5s,4p,3d,2f] (Dunning basis, state-averaged CASSCF reference)",exact_coords,linear,HIGH,-7.995614,-72.52391,True,True,0,biblio:N3+_linear,,DUPLICATE_OF_EXISTING
N5-_pentagon_D5h_crosscheck,N10.json,N5,-1,1,D5h,RI-MP2-fc/TZVPP,bond_params,regular_ngon,HIGH,-14.760899,-80.33291,True,True,0,biblio:N5-_pentagon,,DUPLICATE_OF_EXISTING
N4_Td_tetrahedrane_CCSDT,N4-N8.json,N4,0,1,Td,CCSD(T)/TZ2Pf (highest level in paper),bond_params,tetrahedron,HIGH,-11.484332,-78.12615,True,True,0,biblio:N4_D2d_puckered,,DUPLICATE_OF_EXISTING
N4_Td_singlet_1,N4b.json,N4,0,1,Td,"CCSD(T)/DZP (also B3LYP/DZP, B3LYP/cc-pVTZ, CAS(12,12) reported)",bond_params,tetrahedron,HIGH,-11.484332,-78.12615,True,True,0,biblio:N4_D2d_puckered,,DUPLICATE_OF_EXISTING
N8_pentalene_dianion_analog_struct11,N4-6-8.json,N8,0,1,not stated numerically,MP2/6-31G*,bond_params,fused_bicyclic,LOW,-23.236426,-79.03692,True,True,0,biblio:N8_C2v_ring,,DUPLICATE_OF_EXISTING
N4_D2h_rectangle_cyclobutadiene_analog,N4-6-8.json,N4,0,1,D2h,MP2/6-31G*,bond_params,rectangle,HIGH,-11.41798,-77.67477,True,True,1,biblio:N4_D2d_puckered,,DUPLICATE_OF_EXISTING
N8_Oh_octaazacubane_CCSD,N4-N8.json,N8,0,1,Oh,CCSD/DZP (highest correlated level given for pure N8 in Table 2; no CCSD(T) row for N8 itself),bond_params,cube,HIGH,-22.908623,-77.92192,True,True,0,biblio:N8_Oh_cubane_GS,,DUPLICATE_OF_EXISTING
N4_Td_tetraazatetrahedrane,N4c.json,N4,0,1,Td,"MP2/6-31G(d) (cross-compared to CASSCF/DZP: 1.471 A, and CCSD/DZP: ~0.020 A shorter)",bond_params,tetrahedron,HIGH,-11.484332,-78.12615,True,True,0,biblio:N4_D2d_puckered,,DUPLICATE_OF_EXISTING
N4_D2d_triplet_5,N4b.json,N4,0,3,D2d,"CCSD(T)/DZP (also B3LYP/DZP, B3LYP/cc-pVTZ, CAS(12,12)/DZP, CAS(12,12)/cc-pVTZ reported)",bond_params,puckered_4ring_d2d,HIGH,-11.365133,-77.31525,True,True,0,N_csp:N4_0004_bicyclic-3-3,,DUPLICATE_OF_EXISTING
N4_Cs_triplet_4_openchain,N4b.json,N4,0,3,Cs,"CCSD(T)/DZP (also B3LYP/DZP, B3LYP/cc-pVTZ, CAS(12,12)/DZP, CAS(12,12)/cc-pVTZ reported)",bond_params,chain2d,HIGH,-11.506737,-78.27857,True,True,0,biblio:N4_C2h_chain,,DUPLICATE_OF_EXISTING
