id,formula,charge,mult,pg,method,source,n,status,is_true_minimum,hops_needed,e_xtb_hartree,e_xtb_eV_per_atom
N2,N2,0,1,Dinfh,CCSD(T)/aug-cc-pVTZ,[B] p.7 (CCSD(T)/aug-cc-pVTZ),2,ok,True,0,-5.763935377335545,-78.422336
N2+,N2,1,2,Dinfh,B3LYP/aug-cc-pVDZ,[B] p.7 (B3LYP/aug-cc-pVDZ),2,ok,True,0,-5.103526167937918,-69.437011
N3-_triangle,N3,-1,3,D3h,B3LYP/aug-cc-pVDZ,"[B] p.14 (B3LYP/aug-cc-pVDZ, triplet 3A1')",3,ok,True,0,-8.752492706019654,-79.389153
N3+_triangle,N3,1,1,D3h,CCSD(T)/cc-pVTZ,[B] p.11 (CCSD(T)/cc-pVTZ),3,ok,True,0,-7.956507307570384,-72.169198
N3-_bent,N3,-1,1,C2v,B3LYP/aug-cc-pVDZ,[B] p.13 (B3LYP/aug-cc-pVDZ),3,ok,True,0,-8.781573548818603,-79.65293
N3-_linear,N3,-1,1,Dinfh,CCSD(T)/aug-cc-pVTZ,[B] p.14 (CCSD(T)/aug-cc-pVTZ),3,ok,True,0,-8.896607128072887,-80.696338
N3_radical,N3,0,2,Dinfh,B3LYP/aug-cc-pVDZ,[B] p.12 (B3LYP/aug-cc-pVDZ),3,ok,True,0,-8.625645883574416,-78.238594
N3+_linear,N3,1,1,Dinfh,CCSD(T)/cc-pVTZ,[B] p.9 (CCSD(T)/cc-pVTZ),3,ok,True,0,-7.9982471491129195,-72.547797
N4+_rectangle,N4,1,2,D2h,B3LYP/aug-cc-pVDZ,[B] p.16 (B3LYP/aug-cc-pVDZ),4,ok,True,0,-10.821659107726232,-73.618086
N4_Td,N4,0,1,Td,CCSD(T)/aug-cc-pVTZ,[B] p.19 (CCSD(T)/aug-cc-pVTZ) - tetraazatetrahedrane,4,ok,True,0,-11.48433156415994,-78.126145
N4-_chain_planar,N4,-1,4,C2h,B3LYP/aug-cc-pVDZ,"[B] p.23 (B3LYP/aug-cc-pVDZ, 4Bg, 'planar')",4,ok,True,0,-11.656664403137617,-79.298499
N4_C2h_chain,N4,0,3,C2h,CCSD(T)/aug-cc-pVDZ,"[B] p.22 (CCSD(T)/aug-cc-pVDZ, 3Bu, 'linear E')",4,ok,True,0,-11.506737334131005,-78.278569
N5-_pentagon,N5,-1,1,D5h,CCSD(T)/aug-cc-pVTZ,[B] p.28 (CCSD(T)/aug-cc-pVTZ) - pentazolate,5,ok,True,0,-14.760899106852104,-80.332905
N4_D2d_puckered,N4,0,3,D2d,CCSD(T)/aug-cc-pVDZ,"[B] p.18 (CCSD(T)/aug-cc-pVDZ, 3A2)",4,ok,True,0,-11.365132766901285,-77.315254
N5+_Vchain,N5,1,1,C2v,CCSD(T)/6-311+G(2d),[B] p.24 (CCSD(T)/6-311+G(2d)),5,ok,True,0,-13.985264489279382,-76.111687
N5H_pentazole,N5H,0,1,C2v,MP2(fc)/6-31G*,[GS] Fig.5 p.7129 (MP2(fc)/6-31G*) - pentazole 2,6,ok,True,0,-15.028854326698081,-68.159327
N4_D2h_rectangle_planar,N4,0,1,D2h,B3LYP/aug-cc-pVDZ,"[B] p.20 (B3LYP/aug-cc-pVDZ, non-minimum a plus haut niveau)",4,ok,True,1,-11.417980089015307,-77.674767
N4-_rectangle,N4,-1,2,D2h,B3LYP/aug-cc-pVDZ,[B] p.23 (B3LYP/aug-cc-pVDZ),4,ok,True,1,-11.70142684541139,-79.603011
