name,formula,charge,n_atoms,point_group,e_eV_per_atom,e_rel_kcalmol,ref,orig_method
N3-_linear,N3,-1,3,Dinfh,-80.696338,0.0,B,CCSD(T)/aug-cc-pVTZ
N3-_bent,N3,-1,3,C2v,-79.65293,72.18,B,B3LYP/aug-cc-pVDZ
N3-_triangle,N3,-1,3,D3h,-79.389153,90.43,B,B3LYP/aug-cc-pVDZ
N4-_rectangle,N4,-1,4,D2h,-79.603011,0.0,B,B3LYP/aug-cc-pVDZ
N4-_chain_planar,N4,-1,4,C2h,-79.298499,28.09,B,B3LYP/aug-cc-pVDZ
N5-_pentagon,N5,-1,5,D5h,-80.332905,0.0,B,CCSD(T)/aug-cc-pVTZ
N5-_pentagon_D5h_crosscheck,N5,-1,5,D5h,-80.33291,0.0,A2,RI-MP2-fc/TZVPP
N5-_D5h_pentazolate,N5,-1,5,D5h,-80.33291,0.0,A7,"CCSD(T)/6-311+G(d) (also MP2, QCISD, B3LYP with same basis reported: 1.337/1.324/1.334/1.326 A respectively)"
N5-_bipyramid,N5,-1,5,D3h,-79.08956,143.36,B,B3LYP/aug-cc-pVDZ
N6-_Cs_chain,N6,-1,6,Cs,-79.815068,0.0,B,B3LYP/aug-cc-pVDZ
N6-_C2_linked_triangles,N6,-1,6,C2,-79.056055,105.02,B,B3LYP/aug-cc-pVDZ (topologie)
N7-_chain,N7,-1,7,C2v,-79.774135,0.0,B,B3LYP/aug-cc-pVDZ
N7-_6_Cs_6ring_boat,N7,-1,7,Cs,-79.71763,9.12,A11,B3LYP/6-31G*
N8-_C2h_chain,N8,-1,8,C2h,-79.668084,0.0,B,B3LYP/aug-cc-pVDZ
N8-_C2h_ZEZ,N8,-1,8,C2h,-79.668084,0.0,B,B3LYP/aug-cc-pVDZ
N9-_chain_twistedW,N9,-1,9,C2,-79.654589,0.0,B,B3LYP/aug-cc-pVDZ
N9-_chain,N9,-1,9,C2v,-79.654589,0.0,B,B3LYP/aug-cc-pVDZ
N9-_ring_chain,N9,-1,9,Cs,-79.641641,2.69,B,B3LYP/aug-cc-pVDZ (topologie)
N10-_D2h_perp_rings,N10,-1,10,D2h,-79.722801,0.0,B,B3LYP/aug-cc-pVDZ (topologie)
N2,N2,0,2,Dinfh,-78.422336,0.0,B,CCSD(T)/aug-cc-pVTZ
N3_radical,N3,0,3,Dinfh,-78.238594,0.0,B,B3LYP/aug-cc-pVDZ
N4_C2v_butterfly,N4,0,4,C2v,-78.278561,0.0,B,CCSD(T)/aug-cc-pVDZ (topologie)
N4_C2h_chain,N4,0,4,C2h,-78.278569,0.0,B,CCSD(T)/aug-cc-pVDZ
N4_Cs_triplet_4_openchain,N4,0,4,Cs,-78.27857,0.0,A4,"CCSD(T)/DZP (also B3LYP/DZP, B3LYP/cc-pVTZ, CAS(12,12)/DZP, CAS(12,12)/cc-pVTZ reported)"
N4_Cs_triplet_5_openchain,N4,0,4,Cs,-78.27857,0.0,A6,MP2(full)/6-31G(d); CISD(fc)/6-31G(d) values in parentheses
N4_Td,N4,0,4,Td,-78.126145,14.06,B,CCSD(T)/aug-cc-pVTZ
N4_Td_tetrahedrane_CCSDT,N4,0,4,Td,-78.12615,14.06,A3,CCSD(T)/TZ2Pf (highest level in paper)
N4_Td_singlet_1,N4,0,4,Td,-78.12615,14.06,A4,"CCSD(T)/DZP (also B3LYP/DZP, B3LYP/cc-pVTZ, CAS(12,12) reported)"
N4_Td_tetraazatetrahedrane,N4,0,4,Td,-78.12615,14.06,A6,"MP2/6-31G(d) (cross-compared to CASSCF/DZP: 1.471 A, and CCSD/DZP: ~0.020 A shorter)"
N4_D2h_rectangle_planar,N4,0,4,D2h,-77.674767,55.7,B,B3LYP/aug-cc-pVDZ
N4_D2h_rectangle_cyclobutadiene_analog,N4,0,4,D2h,-77.67477,55.7,A5,MP2/6-31G*
