name,charge,mult,n_atoms,freq_status,is_true_minimum,hops_needed,n_imaginary_before_hopping,e_final_eV_per_atom,freq_seconds
N4_C2v_butterfly,0,3,4,ok,True,0,0,-78.278561,1.3
N6_D2_twisted,0,1,6,ok,True,0,0,-78.708698,2.4
N6_C2_book,0,1,6,ok,True,0,0,-78.708699,2.4
N6+_C2h_nonplanar,1,2,6,ok,True,0,0,-76.49573,2.5
N10_cage_C2v,0,1,10,ok,True,0,0,-78.897797,5.8
N7_C2v_logcarrier,0,2,7,ok,True,0,0,-78.572052,3.5
N10_Cs_ring_chain,0,1,10,ok,True,0,0,-78.859332,6.0
N10_C3_cap,0,1,10,ok,True,0,0,-78.897797,6.3
N7_Cs_ring_chain,0,2,7,ok,True,0,0,-78.699767,3.1
N8_C2v_ring,0,1,8,ok,True,0,0,-79.036919,3.2
N8_C2v_branched,0,1,8,ok,True,0,0,-78.347025,3.4
N12_C2h_dipentazolyldiazene,0,1,12,ok,True,0,0,-78.362779,9.9
N8_Cs_azidopentazole,0,1,8,ok,True,0,0,-78.983174,3.8
N8_Cs_pentagonal,0,1,8,ok,True,0,0,-78.983174,3.8
N6-_C2_linked_triangles,-1,2,6,ok,True,1,2,-79.056055,10.7
N8_D2d_octaazacyclooctatetraene,0,1,8,ok,True,0,0,-79.036919,3.3
N8_D2h_pentalene,0,1,8,ok,True,0,0,-79.036918,3.3
N10+_rings,1,2,10,ok,True,0,0,-77.493817,13.4
N8_Cs_ZEE,0,1,8,ok,True,0,0,-78.877509,4.1
N8_C2h_ladder,0,1,8,ok,True,1,1,-79.036919,8.9
N9-_ring_chain,-1,1,9,ok,True,0,0,-79.641641,3.6
N10-_D2h_perp_rings,-1,2,10,ok,True,2,2,-79.722801,18.0
N9_fused_rings,0,2,9,ok,True,1,1,-78.832388,6.4
N9+_fused_rings,1,1,9,ok,True,2,2,-77.328291,9.8
N8_D2h_ring_pendant,0,1,8,ok,True,1,3,-78.758508,13.5
