rank,formula,family,tag,charge,n_atoms,e_xtb_hartree,e_per_atom_hartree,e_reaction_hartree,e_reaction_ev_per_atom,e_reaction_kcalmol,reference_reaction,smiles,xyz,is_true_minimum,n_freq_hops,n_imaginary_freq
1,N5_anion,anion,N5_anion_iso0003_conf1,-1,5,-14.760899106885034,-2.952179821377007,-1.0688503415678952e-07,-5.816979896712039e-07,-6.707137206158152e-05,Nx- -> (x-5)/2 N2 + N5-,n1nn[n-]n1,resultats/seeds_pubchem/work/xtb/N5_anion_iso0003_conf1/xtbopt.xyz,True,0,0
2,N5_anion,anion,N5_anion_iso0000_conf1,-1,5,-14.689176267767394,-2.937835253553479,0.07172273223260639,0.39033499387980514,45.00669431222477,Nx- -> (x-5)/2 N2 + N5-,N#[N+]N=N[N-2],resultats/seeds_pubchem/work/xtb/N5_anion_iso0000_conf1/xtbopt.xyz,True,0,0
3,N5_anion,anion,N5_anion_iso0006_conf0,-1,5,-14.687946407940753,-2.9375892815881506,0.07295259205924687,0.3970282320340327,45.77844301087975,Nx- -> (x-5)/2 N2 + N5-,N#[N+][N-]N=[N-],resultats/seeds_pubchem/work/xtb/N5_anion_iso0006_conf0/xtbopt.xyz,True,0,0
4,N5_anion,anion,N5_anion_iso0012_conf0,-1,5,-14.623943922742077,-2.9247887845484155,0.1369550772579231,0.7453475011228945,85.94060913162282,Nx- -> (x-5)/2 N2 + N5-,[N-2][N+]1=NN=N1,resultats/seeds_pubchem/work/xtb/N5_anion_iso0012_conf0/xtbopt.xyz,True,0,0
5,N5_anion,anion,N5_anion_iso0002_conf0,-1,5,-14.59974061145892,-2.919948122291784,0.16115838854108056,0.8770686314744699,101.12841637705662,Nx- -> (x-5)/2 N2 + N5-,n1nn2[n-]n12,resultats/seeds_pubchem/work/xtb/N5_anion_iso0002_conf0/xtbopt.xyz,True,0,0
6,N5_anion,anion,N5_anion_iso0019_conf1,-1,5,-14.594760844998335,-2.918952168999667,0.16613815500166496,0.9041699011892256,104.25326703264697,Nx- -> (x-5)/2 N2 + N5-,[N-]=[N+]1[N-][N+]1=[N-],resultats/seeds_pubchem/work/xtb/N5_anion_iso0019_conf1/xtbopt.xyz,True,0,0
7,N5_anion,anion,N5_anion_iso0015_conf1,-1,5,-14.585277652883045,-2.917055530576609,0.1756213471169552,0.9557800618880399,110.20405997306057,Nx- -> (x-5)/2 N2 + N5-,[N-]=NN1N=N1,resultats/seeds_pubchem/work/frequency/N5_anion_iso0015_conf1/post_freq_minimum.xyz,True,1,0
8,N5_anion,anion,N5_anion_iso0009_conf0,-1,5,-14.571826363565274,-2.914365272713055,0.1890726364347266,1.028985707714522,118.6448715203235,Nx- -> (x-5)/2 N2 + N5-,[N-]=[N+]=[N+]1[N-][N-]1,resultats/seeds_pubchem/work/xtb/N5_anion_iso0009_conf0/xtbopt.xyz,True,0,0
9,N5_anion,anion,N5_anion_iso0014_conf0,-1,5,-14.570187636982203,-2.9140375273964407,0.19071136301779745,1.0379041121152237,119.67318798415248,Nx- -> (x-5)/2 N2 + N5-,N1=N[N+]12[N-][N-]2,resultats/seeds_pubchem/work/frequency/N5_anion_iso0014_conf0/post_freq_minimum.xyz,True,1,0
10,N5_anion,anion,N5_anion_iso0023_conf0,-1,5,-14.532438670356639,-2.9064877340713275,0.2284603296433616,1.243344454362251,143.36102235177248,Nx- -> (x-5)/2 N2 + N5-,[n-]1n2n3n1n23,resultats/seeds_pubchem/work/xtb/N5_anion_iso0023_conf0/xtbopt.xyz,True,0,0
