rank,formula,family,tag,charge,n_atoms,e_xtb_hartree,e_per_atom_hartree,e_reaction_hartree,e_reaction_ev_per_atom,e_reaction_kcalmol,reference_reaction,xyz,is_true_minimum,n_freq_hops,n_imaginary_freq
1,N5_anion,anion,N5_anion_iso0000_conf1,-1,5,-14.76089910688522,-2.952179821377044,-1.0688521889790081e-07,-5.816989950835509e-07,-6.707148798837995e-05,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N5_anion_iso0000_conf1/xtbopt.xyz,True,0,0
2,N5_anion,anion,N5_anion_iso0001_conf1,-1,5,-14.689176267767394,-2.937835253553479,0.0717227322326063,0.3903349938798051,45.00669431222477,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N5_anion_iso0001_conf1/xtbopt.xyz,True,0,0
3,N5_anion,anion,N5_anion_iso0015_conf0,-1,5,-14.687946420852429,-2.937589284170486,0.0729525791475715,0.397028161765116,45.77843490868112,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N5_anion_iso0015_conf0/post_freq_minimum.xyz,True,1,0
4,N5_anion,anion,N5_anion_iso0013_conf0,-1,5,-14.623943922742084,-2.924788784548417,0.136955077257916,0.7453475011228559,85.94060913161836,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N5_anion_iso0013_conf0/xtbopt.xyz,True,0,0
5,N5_anion,anion,N5_anion_iso0003_conf0,-1,5,-14.599740611458914,-2.9199481222917827,0.1611583885410858,0.877068631474499,101.12841637705996,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N5_anion_iso0003_conf0/xtbopt.xyz,True,0,0
6,N5_anion,anion,N5_anion_iso0020_conf1,-1,5,-14.594760844998332,-2.9189521689996663,0.1661381550016685,0.9041699011892448,104.2532670326492,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N5_anion_iso0020_conf1/xtbopt.xyz,True,0,0
7,N5_anion,anion,N5_anion_iso0016_conf1,-1,5,-14.585277652883056,-2.917055530576611,0.1756213471169445,0.9557800618879816,110.20405997305387,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N5_anion_iso0016_conf1/post_freq_minimum.xyz,True,1,0
8,N5_anion,anion,N5_anion_iso0010_conf0,-1,5,-14.571826363565284,-2.9143652727130567,0.1890726364347159,1.028985707714464,118.6448715203168,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N5_anion_iso0010_conf0/xtbopt.xyz,True,0,0
9,N5_anion,anion,N5_anion_iso0024_conf0,-1,5,-14.532438670356637,-2.906487734071327,0.2284603296433651,1.2433444543622705,143.36102235177472,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N5_anion_iso0024_conf0/xtbopt.xyz,True,0,0
1,N7_anion,anion,N7_anion_iso0041_conf1,-1,7,-20.521517606477374,-2.9316453723539113,0.0033163935226205,0.0128919521553887,2.081068370451326,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N7_anion_iso0041_conf1/post_freq_minimum.xyz,True,1,0
2,N7_anion,anion,N7_anion_iso0051_conf1,-1,7,-20.517101499342253,-2.9310144999060364,0.0077325006577453,0.0300588660064663,4.852217456573801,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N7_anion_iso0051_conf1/post_freq_minimum.xyz,True,1,0
3,N7_anion,anion,N7_anion_iso0060_conf1,-1,7,-20.50886644230142,-2.9298380631859176,0.0159675576985769,0.0620713399915823,10.019793807101427,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0060_conf1/xtbopt.xyz,True,0,0
4,N7_anion,anion,N7_anion_iso0133_conf0,-1,7,-20.506982543077974,-2.929568934725425,0.017851456922024,0.0693946984798303,11.201958426677589,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0133_conf0/xtbopt.xyz,True,0,0
5,N7_anion,anion,N7_anion_iso0029_conf1,-1,7,-20.48608952600554,-2.9265842180007913,0.0387444739944591,0.1506129781086949,24.31252467768957,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N7_anion_iso0029_conf1/post_freq_minimum.xyz,True,1,0
6,N7_anion,anion,N7_anion_iso0128_conf0,-1,7,-20.472326694722614,-2.9246180992460884,0.0525073052773805,0.2041137949484009,32.94883176108831,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0128_conf0/xtbopt.xyz,True,0,0
7,N7_anion,anion,N7_anion_iso0170_conf1,-1,7,-20.455139669147226,-2.9221628098781744,0.0696943308527764,0.2709256222843682,43.73385321982981,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0170_conf1/xtbopt.xyz,True,0,0
8,N7_anion,anion,N7_anion_iso0065_conf1,-1,7,-20.44787410161607,-2.9211248716594382,0.0769598983839294,0.2991693600538703,48.29306571356092,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0065_conf1/xtbopt.xyz,True,0,0
9,N7_anion,anion,N7_anion_iso0152_conf0,-1,7,-20.445891457553863,-2.920841636793409,0.0789425424461356,0.3068765733917284,49.53719365542833,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0152_conf0/xtbopt.xyz,True,0,0
10,N7_anion,anion,N7_anion_iso0229_conf1,-1,7,-20.4412096472284,-2.9201728067469146,0.0836243527715971,0.3250763661198126,52.47507401200058,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0229_conf1/xtbopt.xyz,True,0,0
11,N7_anion,anion,N7_anion_iso0086_conf0,-1,7,-20.439136055455364,-2.9198765793507664,0.0856979445446342,0.333137124213043,53.77627250447789,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0086_conf0/xtbopt.xyz,True,0,0
12,N7_anion,anion,N7_anion_iso0207_conf0,-1,7,-20.438114783235054,-2.919730683319294,0.0867192167649406,0.337107157477194,54.417130503024744,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0207_conf0/xtbopt.xyz,True,0,0
13,N7_anion,anion,N7_anion_iso0057_conf1,-1,7,-20.435291207852085,-2.9193273154074406,0.0895427921479132,0.3480833575258699,56.18895081958539,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0057_conf1/xtbopt.xyz,True,0,0
14,N7_anion,anion,N7_anion_iso0090_conf0,-1,7,-20.42600816754136,-2.9180011667916226,0.0988258324586404,0.3841696997304802,62.014146605462294,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0090_conf0/xtbopt.xyz,True,0,0
15,N7_anion,anion,N7_anion_iso0089_conf0,-1,7,-20.407408643556295,-2.9153440919366136,0.1174253564437037,0.4564723898946342,73.68552420487948,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0089_conf0/xtbopt.xyz,True,0,0
16,N7_anion,anion,N7_anion_iso0031_conf0,-1,7,-20.4031352208683,-2.914733602981186,0.1216987791316981,0.4730846406596888,76.36713744796855,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N7_anion_iso0031_conf0/post_freq_minimum.xyz,True,1,0
17,N7_anion,anion,N7_anion_iso0135_conf1,-1,7,-20.39082813316792,-2.9129754475954175,0.1340058668320765,0.5209264859422951,84.08995163480536,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0135_conf1/xtbopt.xyz,True,0,0
18,N7_anion,anion,N7_anion_iso0081_conf0,-1,7,-20.366995229896713,-2.9095707471281016,0.1578387701032859,0.6135731054103167,99.04532434176568,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0081_conf0/xtbopt.xyz,True,0,0
19,N7_anion,anion,N7_anion_iso0030_conf0,-1,7,-20.358409105241737,-2.908344157891676,0.1664248947582649,0.6469502988878645,104.43319894782562,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N7_anion_iso0030_conf0/post_freq_minimum.xyz,True,1,0
20,N7_anion,anion,N7_anion_iso0188_conf0,-1,7,-20.290565273419684,-2.8986521819170976,0.2342687265803142,0.9106824006189552,147.00584648560056,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N7_anion_iso0188_conf0/xtbopt.xyz,True,0,0
1,N9_anion,anion,N9_anion_iso0162_conf0,-1,9,-26.3959184098453,-2.9328798233161444,-0.1071494098452987,-0.3239648863700103,-67.23727031205154,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0162_conf0/xtbopt.xyz,True,0,0
2,N9_anion,anion,N9_anion_iso0022_conf1,-1,9,-26.365061355705773,-2.929451261745086,-0.076292355705771,-0.2306689731917826,-47.874176355598344,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N9_anion_iso0022_conf1/post_freq_minimum.xyz,True,1,0
3,N9_anion,anion,N9_anion_iso0170_conf0,-1,9,-26.35828986064373,-2.9286988734048585,-0.069520860643724,-0.2101954434588757,-43.62499901938222,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0170_conf0/xtbopt.xyz,True,0,0
4,N9_anion,anion,N9_anion_iso0159_conf1,-1,9,-26.348951947821924,-2.9276613275357692,-0.0601829478219215,-0.1819623820671611,-37.765370212686975,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N9_anion_iso0159_conf1/post_freq_minimum.xyz,True,1,0
5,N9_anion,anion,N9_anion_iso0017_conf1,-1,9,-26.34320927717692,-2.927023253019658,-0.0544402771769192,-0.1645994899555327,-34.16178995005573,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N9_anion_iso0017_conf1/post_freq_minimum.xyz,True,2,0
6,N9_anion,anion,N9_anion_iso0035_conf1,-1,9,-26.338628869041088,-2.9265143187823432,-0.0498598690410858,-0.1507506838501518,-31.287540428633264,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0035_conf1/xtbopt.xyz,True,0,0
7,N9_anion,anion,N9_anion_iso0023_conf0,-1,9,-26.310009721168655,-2.923334413463184,-0.0212407211686525,-0.0642210519848374,-13.328753867161549,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N9_anion_iso0023_conf0/post_freq_minimum.xyz,True,1,0
8,N9_anion,anion,N9_anion_iso0106_conf1,-1,9,-26.306814334777027,-2.922979370530781,-0.0180453347770246,-0.0545598416173085,-11.323618618395075,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0106_conf1/xtbopt.xyz,True,0,0
9,N9_anion,anion,N9_anion_iso0127_conf1,-1,9,-26.304977421967767,-2.9227752691075297,-0.0162084219677645,-0.0490059589558663,-10.170938419090067,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0127_conf1/xtbopt.xyz,True,0,0
10,N9_anion,anion,N9_anion_iso0044_conf0,-1,9,-26.300302670311986,-2.922255852256887,-0.0115336703119837,-0.0348719064103637,-7.237487444649308,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0044_conf0/xtbopt.xyz,True,0,0
11,N9_anion,anion,N9_anion_iso0011_conf1,-1,9,-26.257613923333555,-2.9175126581481727,0.0311550766664474,0.0941969805215633,19.550105916953186,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N9_anion_iso0011_conf1/post_freq_minimum.xyz,True,1,0
12,N9_anion,anion,N9_anion_iso0047_conf0,-1,9,-26.25664173010244,-2.917404636678049,0.0321272698975612,0.0971363944679601,20.16016638457797,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0047_conf0/xtbopt.xyz,True,0,0
13,N9_anion,anion,N9_anion_iso0129_conf1,-1,9,-26.255035521893973,-2.9172261690993304,0.0337334781060292,0.1019927446848601,21.168077260112653,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N9_anion_iso0129_conf1/post_freq_minimum.xyz,True,1,0
14,N9_anion,anion,N9_anion_iso0026_conf1,-1,9,-26.22861087389258,-2.9142900970991756,0.0601581261074208,0.1818873339270982,37.7497943515609,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N9_anion_iso0026_conf1/post_freq_minimum.xyz,True,1,0
