rank,formula,family,charge,n_atoms,e_reaction_kcalmol,reference_reaction,is_true_minimum,n_imaginary_freq,xyz
1,N5_anion,anion,-1,5,-6.707137206158152e-05,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N5_anion_iso0003_conf1/xtbopt.xyz
2,N5_anion,anion,-1,5,45.00669431222477,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N5_anion_iso0000_conf1/xtbopt.xyz
3,N5_anion,anion,-1,5,45.77844301087975,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N5_anion_iso0006_conf0/xtbopt.xyz
4,N5_anion,anion,-1,5,85.94060913162282,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N5_anion_iso0012_conf0/xtbopt.xyz
5,N5_anion,anion,-1,5,101.12841637705662,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N5_anion_iso0002_conf0/xtbopt.xyz
6,N5_anion,anion,-1,5,104.25326703264697,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N5_anion_iso0019_conf1/xtbopt.xyz
7,N5_anion,anion,-1,5,110.20405997306057,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N5_anion_iso0015_conf1/post_freq_minimum.xyz
8,N5_anion,anion,-1,5,118.6448715203235,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N5_anion_iso0009_conf0/xtbopt.xyz
9,N5_anion,anion,-1,5,119.67318798415248,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N5_anion_iso0014_conf0/post_freq_minimum.xyz
10,N5_anion,anion,-1,5,143.36102235177248,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N5_anion_iso0023_conf0/xtbopt.xyz
1,N7_anion,anion,-1,7,2.0810677928906403,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N7_anion_iso0076_conf1/post_freq_minimum.xyz
2,N7_anion,anion,-1,7,4.8522173206117305,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N7_anion_iso0045_conf1/post_freq_minimum.xyz
