formula,tag,charge,n_atoms,e_xtb_hartree,e_dftb_hartree,e_formation_hartree,e_formation_ev_per_atom,e_formation_kcalmol,xyz
N10,N10_iso0034_conf1,0,10,-29.03354548896496,,-0.21386860184525958,-0.581966113070078,-134.20457484825963,results/work/xtb/N10_iso0034_conf1/xtbopt.xyz
N10,N10_iso0034_conf2,0,10,-29.033545488957458,,-0.21386860183775624,-0.5819661130496604,-134.2045748435512,results/work/xtb/N10_iso0034_conf2/xtbopt.xyz
N10,N10_iso0034_conf0,0,10,-29.033545488951187,,-0.2138686018314857,-0.5819661130325974,-134.20457483961638,results/work/xtb/N10_iso0034_conf0/xtbopt.xyz
N10,N10_iso0062_conf1,0,10,-29.01680332245362,,-0.19712643533391727,-0.5364083571166,-123.69870666888494,results/work/xtb/N10_iso0062_conf1/xtbopt.xyz
N10,N10_iso0062_conf2,0,10,-29.016803322393177,,-0.19712643527347495,-0.536408356952128,-123.69870663095682,results/work/xtb/N10_iso0062_conf2/xtbopt.xyz
N10,N10_iso0066_conf2,0,10,-29.016803322331523,,-0.19712643521182116,-0.5364083567843595,-123.69870659226848,results/work/xtb/N10_iso0066_conf2/xtbopt.xyz
N10,N10_iso0062_conf0,0,10,-29.01680332226575,,-0.19712643514604977,-0.5364083566053864,-123.6987065509963,results/work/xtb/N10_iso0062_conf0/xtbopt.xyz
N10,N10_iso0066_conf0,0,10,-29.01680332215564,,-0.19712643503593696,-0.5364083563057542,-123.69870648189948,results/work/xtb/N10_iso0066_conf0/xtbopt.xyz
N10,N10_iso0040_conf0,0,10,-29.016803321921866,,-0.19712643480216485,-0.5364083556696279,-123.69870633520526,results/work/xtb/N10_iso0040_conf0/xtbopt.xyz
N10,N10_iso0040_conf1,0,10,-29.01680332123779,,-0.19712643411808983,-0.536408353808165,-123.69870590594171,results/work/xtb/N10_iso0040_conf1/xtbopt.xyz
N4,N4_iso0001_conf1,0,4,-11.484331564167801,,0.04353919068007883,0.2961904336083365,27.32125484546343,results/work/xtb/N4_iso0001_conf1/xtbopt.xyz
N4,N4_iso0001_conf0,0,4,-11.48433156416774,,0.043539190680141004,0.29619043360875946,27.321254845502445,results/work/xtb/N4_iso0001_conf0/xtbopt.xyz
N4,N4_iso0001_conf2,0,4,-11.48433156416764,,0.04353919068024048,0.29619043360943614,27.321254845564866,results/work/xtb/N4_iso0001_conf2/xtbopt.xyz
N4,N4_iso0000_conf2,0,4,-11.417144512289926,,0.11072624255795382,0.753253638452859,69.4817667428672,results/work/xtb/N4_iso0000_conf2/xtbopt.xyz
N4,N4_iso0000_conf1,0,4,-11.41714451227411,,0.1107262425737705,0.7532536385604574,69.48176675279231,results/work/xtb/N4_iso0000_conf1/xtbopt.xyz
N4,N4_iso0000_conf0,0,4,-11.417144512209253,,0.11072624263862707,0.7532536390016666,69.48176679349042,results/work/xtb/N4_iso0000_conf0/xtbopt.xyz
N5,N5_iso0000_conf1,1,5,-14.441811511551409,,-0.03197306799155797,-0.17400630051750393,-20.063403226931623,results/work/xtb/N5_iso0000_conf1/xtbopt.xyz
N5,N5_iso0000_conf2,1,5,-14.441811511339495,,-0.03197306777964393,-0.17400629936420894,-20.063403093953553,results/work/xtb/N5_iso0000_conf2/xtbopt.xyz
N5,N5_iso0000_conf0,1,5,-14.441811511338653,,-0.031973067778801934,-0.1740062993596266,-20.063403093425194,results/work/xtb/N5_iso0000_conf0/xtbopt.xyz
N5_anion,N5_anion_iso0000_conf1,-1,5,-14.441811511551405,,-0.031973067991554416,-0.17400630051748459,-20.063403226929392,results/work/xtb/N5_anion_iso0000_conf1/xtbopt.xyz
N5_anion,N5_anion_iso0000_conf2,-1,5,-14.441811511339495,,-0.03197306777964393,-0.17400629936420894,-20.063403093953553,results/work/xtb/N5_anion_iso0000_conf2/xtbopt.xyz
N5_anion,N5_anion_iso0000_conf0,-1,5,-14.441811511338663,,-0.03197306777881259,-0.1740062993596846,-20.06340309343188,results/work/xtb/N5_anion_iso0000_conf0/xtbopt.xyz
N6,N6_iso0005_conf1,0,6,-17.39333066732149,,-0.10152453504966985,-0.4604372227801521,-63.70760806145035,results/work/xtb/N6_iso0005_conf1/xtbopt.xyz
N6,N6_iso0005_conf0,0,6,-17.39333066704086,,-0.101524534769041,-0.4604372215074354,-63.707607885353084,results/work/xtb/N6_iso0005_conf0/xtbopt.xyz
N6,N6_iso0004_conf0,0,6,-17.334569979792693,,-0.04276384752087381,-0.19394392870917226,-26.834719663838673,results/work/xtb/N6_iso0004_conf0/xtbopt.xyz
N6,N6_iso0002_conf1,0,6,-17.322743949882266,,-0.030937817610446672,-0.1403101507676323,-19.413773799985332,results/work/xtb/N6_iso0002_conf1/xtbopt.xyz
N6,N6_iso0002_conf0,0,6,-17.322743949823433,,-0.030937817551613733,-0.14031015050081136,-19.413773763067105,results/work/xtb/N6_iso0002_conf0/xtbopt.xyz
N6,N6_iso0002_conf2,0,6,-17.32274394965734,,-0.030937817385520816,-0.14031014974754158,-19.413773658842224,results/work/xtb/N6_iso0002_conf2/xtbopt.xyz
N6,N6_iso0001_conf1,0,6,-17.26006312836901,,0.03174300390281104,0.14396185663454927,19.919035830540853,results/work/xtb/N6_iso0001_conf1/xtbopt.xyz
N6,N6_iso0001_conf0,0,6,-17.260063128364852,,0.031743003906967715,0.14396185665340075,19.919035833149206,results/work/xtb/N6_iso0001_conf0/xtbopt.xyz
N6,N6_iso0001_conf2,0,6,-17.260063128341336,,0.03174300393048313,0.14396185676004858,19.919035847905352,results/work/xtb/N6_iso0001_conf2/xtbopt.xyz
N6,N6_iso0003_conf0,0,6,-17.258647715474332,,0.03315841679748743,0.15038108113031448,20.80722083818507,results/work/xtb/N6_iso0003_conf0/xtbopt.xyz
N8,N8_iso0007_conf2,0,8,-23.18680463973619,,-0.13106313004043102,-0.44580118176729017,-82.24335640481056,results/work/xtb/N8_iso0007_conf2/xtbopt.xyz
N8,N8_iso0008_conf0,0,8,-23.15924947264382,,-0.10350796294805775,-0.35207439491437675,-64.95222786795154,results/work/xtb/N8_iso0008_conf0/xtbopt.xyz
