id,formula,n_atoms,topology_label,n_edges,n_rings,ring_sizes,degree_sequence,max_degree_actual,conformer_id,ff_energy_au,mace_energy_eV,mace_energy_eV_per_atom,delta_E_eV_per_atom_vs_N2,is_stability_candidate,converged,n_opt_steps,spacegroup,sg_number,xyz_file,cif_file
1,N3,3,chain,2,0,[],"[2, 1, 1]",2,1,1.683631,-4470.844331,-1490.281444,0.0812,True,True,7,C2/m,12,xyz/N3_0000_chain.xyz,cif/N3_0000_chain.cif
2,N3,3,ring-3,3,1,[3],"[2, 2, 2]",2,4,300.000000,-4467.522947,-1489.174316,1.1884,True,True,1,P1,1,xyz/N3_0001_ring-3.xyz,cif/N3_0001_ring-3.cif
3,N4,4,branched-tree,3,0,[],"[3, 1, 1, 1]",3,2,7.665765,-5954.395836,-1488.598959,1.7637,True,True,8,P1,1,xyz/N4_0000_branched-tree.xyz,cif/N4_0000_branched-tree.cif
4,N4,4,chain,3,0,[],"[2, 2, 1, 1]",2,2,3.337345,-5961.451417,-1490.362854,-0.0002,False,True,17,P-1,2,xyz/N4_0001_chain.xyz,cif/N4_0001_chain.cif
5,N4,4,ring-3-substituted,4,1,[3],"[3, 2, 2, 1]",3,3,273.556738,-5961.490257,-1490.372564,-0.0099,False,True,89,P1,1,xyz/N4_0002_ring-3-substituted.xyz,cif/N4_0002_ring-3-substituted.cif
6,N4,4,ring-4,4,1,[4],"[2, 2, 2, 2]",2,2,118.178538,-5961.451688,-1490.362922,-0.0002,False,True,82,P-1,2,xyz/N4_0003_ring-4.xyz,cif/N4_0003_ring-4.cif
7,N4,4,bicyclic-3-3,5,2,"[3, 3]","[3, 3, 2, 2]",3,2,478.641915,-5956.744702,-1489.186175,1.1765,True,True,4,P1,1,xyz/N4_0004_bicyclic-3-3.xyz,cif/N4_0004_bicyclic-3-3.cif
8,N4,4,bicyclic-3-3-3,6,3,"[3, 3, 3]","[3, 3, 3, 3]",3,1,834.280654,-18292.690312,-4573.172578,-3082.8099,False,False,500,P1,1,xyz/N4_0005_bicyclic-3-3-3.xyz,cif/N4_0005_bicyclic-3-3-3.cif
9,N5,5,branched-tree,4,0,[],"[3, 2, 1, 1, 1]",3,2,9.322561,-7451.544887,-1490.308977,0.0537,True,True,40,P1,1,xyz/N5_0000_branched-tree.xyz,cif/N5_0000_branched-tree.cif
10,N5,5,chain,4,0,[],"[2, 2, 2, 1, 1]",2,0,4.994738,-7449.736899,-1489.947380,0.4153,True,True,15,P1,1,xyz/N5_0001_chain.xyz,cif/N5_0001_chain.cif
11,N5,5,ring-3-substituted,5,1,[3],"[3, 3, 2, 1, 1]",3,3,249.292067,-7449.736902,-1489.947380,0.4153,True,True,39,P1,1,xyz/N5_0002_ring-3-substituted.xyz,cif/N5_0002_ring-3-substituted.cif
12,N5,5,ring-3-substituted,5,1,[3],"[3, 2, 2, 2, 1]",3,2,275.161591,-7448.617340,-1489.723468,0.6392,True,True,21,P1,1,xyz/N5_0003_ring-3-substituted.xyz,cif/N5_0003_ring-3-substituted.cif
13,N5,5,ring-4-substituted,5,1,[4],"[3, 2, 2, 2, 1]",3,4,107.835085,-7448.555794,-1489.711159,0.6515,True,True,18,P1,1,xyz/N5_0004_ring-4-substituted.xyz,cif/N5_0004_ring-4-substituted.cif
14,N5,5,ring-5,5,1,[5],"[2, 2, 2, 2, 2]",2,3,32.782107,-7450.008277,-1490.001655,0.3610,True,True,3,P1,1,xyz/N5_0005_ring-5.xyz,cif/N5_0005_ring-5.cif
15,N5,5,bicyclic-3-3,6,2,"[3, 3]","[3, 3, 3, 2, 1]",3,2,455.185316,-20214.762349,-4042.952470,-2552.5898,False,False,500,P1,1,xyz/N5_0006_bicyclic-3-3.xyz,cif/N5_0006_bicyclic-3-3.cif
16,N5,5,bicyclic-3-4,6,2,"[3, 4]","[3, 3, 2, 2, 2]",3,1,330.905579,-7447.210917,-1489.442183,0.9205,True,True,8,P1,1,xyz/N5_0007_bicyclic-3-4.xyz,cif/N5_0007_bicyclic-3-4.cif
17,N5,5,bicyclic-4-4,6,2,"[4, 4]","[3, 3, 2, 2, 2]",3,1,316.590593,-7442.281217,-1488.456243,1.9064,True,True,29,P1,1,xyz/N5_0008_bicyclic-4-4.xyz,cif/N5_0008_bicyclic-4-4.cif
18,N5,5,bicyclic-3-4-4,7,3,"[3, 4, 4]","[3, 3, 3, 3, 2]",3,4,572.533527,-15478.539587,-3095.707917,-1605.3452,False,False,500,P1,1,xyz/N5_0009_bicyclic-3-4-4.xyz,cif/N5_0009_bicyclic-3-4-4.cif
19,N6,6,branched-tree,5,0,[],"[3, 3, 1, 1, 1, 1]",3,0,15.932477,-8941.693362,-1490.282227,0.0805,True,True,31,P-1,2,xyz/N6_0000_branched-tree.xyz,cif/N6_0000_branched-tree.cif
20,N6,6,branched-tree,5,0,[],"[3, 2, 2, 1, 1, 1]",3,0,10.990373,-8942.404238,-1490.400706,-0.0380,False,True,216,P1,1,xyz/N6_0001_branched-tree.xyz,cif/N6_0001_branched-tree.cif
21,N6,6,branched-tree,5,0,[],"[3, 2, 2, 1, 1, 1]",3,0,10.986865,-8941.706964,-1490.284494,0.0782,True,True,24,P1,1,xyz/N6_0002_branched-tree.xyz,cif/N6_0002_branched-tree.cif
