source,tag,xyz_file,n_atoms,topology_label,charge,uhf,converged,e_xtb_hartree,e_xtb_eV_per_atom,delta_E_eV_per_atom_vs_N2,seconds
N_csp,N_csp_N3_0000_chain,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N3_0000_chain.xyz,3,chain,0,1,True,-8.625645883250227,-78.23859,0.18374,0.22
N_csp,N_csp_N3_0001_ring-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N3_0001_ring-3.xyz,3,ring-3,0,1,True,-8.534383718483333,-77.4108,1.01153,0.32
N_csp,N_csp_N4_0004_bicyclic-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N4_0004_bicyclic-3-3.xyz,4,bicyclic-3-3,0,0,True,-11.434908768464012,-77.78993,0.63241,0.35
N_csp,N_csp_N4_0003_ring-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N4_0003_ring-4.xyz,4,ring-4,0,0,True,-11.528499528919637,-78.42661,-0.00428,0.45
N_csp,N_csp_N4_0000_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N4_0000_branched-tree.xyz,4,branched-tree,0,0,True,-11.281404090757198,-76.74566,1.67667,0.84
N_csp,N_csp_N4_0005_bicyclic-3-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N4_0005_bicyclic-3-3-3.xyz,4,bicyclic-3-3-3,0,0,True,-11.484331564121192,-78.12615,0.29619,0.99
N_csp,N_csp_N5_0005_ring-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0005_ring-5.xyz,5,ring-5,0,1,True,-14.44181150899051,-78.59634,-0.17401,0.21
N_csp,N_csp_N5_0001_chain,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0001_chain.xyz,5,chain,0,1,True,-14.444393496570608,-78.61039,-0.18806,1.04
N_csp,N_csp_N5_0004_ring-4-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0004_ring-4-substituted.xyz,5,ring-4-substituted,0,1,True,-14.337520211746346,-78.02876,0.39358,0.94
N_csp,N_csp_N5_0003_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0003_ring-3-substituted.xyz,5,ring-3-substituted,0,1,True,-14.351975832166419,-78.10743,0.3149,1.18
N_csp,N_csp_N5_0002_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0002_ring-3-substituted.xyz,5,ring-3-substituted,0,1,True,-14.444393496809496,-78.61039,-0.18806,1.57
